NAME                                   ID              SIZE      MODIFIED     
qwen3-vl:2b                            0635d9d857d4    1.9 GB    5 weeks ago     
qwen3-vl:4b                            1343d82ebee3    3.3 GB    5 weeks ago     
mistral-nemo:12b                       e7e06d107c6c    7.1 GB    7 weeks ago     
all-minilm:latest                      1b226e2802db    45 MB     7 weeks ago     
qwen3-embedding:0.6b                   ac6da0dfba84    639 MB    2 months ago    
gemma3:12b                             f4031aab637d    8.1 GB    2 months ago    
llama3.2:3b                            a80c4f17acd5    2.0 GB    2 months ago    
llama3:8b                              365c0bd3c000    4.7 GB    4 months ago    
paraphrase-multilingual:278m           ba13c2e06707    562 MB    4 months ago    
deepseek-r1:8b                         6995872bfe4c    5.2 GB    4 months ago    
gemma3:4b                              a2af6cc3eb7f    3.3 GB    5 months ago    
linux6200/bge-reranker-v2-m3:latest    abf5c6d8bc56    1.2 GB    5 months ago    
toshk0/nomic-embed-text-v2-moe:Q6_K    d1d20cdfb8d1    397 MB    5 months ago    
bge-m3:567m                            790764642607    1.2 GB    5 months ago    
mistral:7b                             3944fe81ec14    4.1 GB    5 months ago    
mxbai-embed-large:335m                 468836162de7    669 MB    5 months ago    
qwen3:8b                               500a1f067a9f    5.2 GB    5 months ago    
nomic-embed-text:v1.5                  0a109f422b47    274 MB    5 months ago
